image_path,iod,miod,is_lv3,od_threshold_used,dilate_radius_used,low_iod,low_miod,low_both,figure_path
data\raw\train\IHC\00017_train_3+.png,19.479312896728516,1.8584594727144577e-05,1,0.25,0,1,1,1,outputs\signal_debug_all\raw__train__IHC__00017_train_3+.png.png
data\raw\train\IHC\00018_train_3+.png,65087.046875,0.13929127156734467,1,0.25,0,0,0,0,outputs\signal_debug_all\raw__train__IHC__00018_train_3+.png.png
data\raw\train\IHC\00019_train_1+.png,268698.9375,1.7352432012557983,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00019_train_1+.png.png
data\raw\train\IHC\00020_train_1+.png,993008.75,0.9470069408416748,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00020_train_1+.png.png
data\raw\train\IHC\00021_train_2+.png,269826.0625,0.42199423909187317,0,0.2,2,0,0,0,
data\raw\train\IHC\00022_train_3+.png,22.31351661682129,2.1281695808283985e-05,1,0.25,0,1,1,1,
data\raw\train\IHC\00024_train_3+.png,142405.65625,0.1360933780670166,1,0.25,0,0,0,0,
data\raw\train\IHC\00025_train_1+.png,118.7603530883789,0.00011325869854772463,0,0.2,2,1,1,1,
data\raw\train\IHC\00027_train_1+.png,21019.521484375,0.020045777782797813,0,0.2,2,0,1,0,
data\raw\train\IHC\00028_train_3+.png,41.16779708862305,3.93128975701984e-05,1,0.25,0,1,1,1,
data\raw\train\IHC\00030_train_3+.png,6953.26513671875,1.2630817890167236,1,0.25,0,0,0,0,
data\raw\train\IHC\00031_train_2+.png,12244.1611328125,0.0148552181199193,0,0.2,2,0,1,0,
data\raw\train\IHC\00032_train_3+.png,111.74832153320312,0.00010689282498788089,1,0.25,0,1,1,1,
data\raw\train\IHC\00034_train_2+.png,114238.1796875,0.3809818923473358,0,0.2,2,0,0,0,
data\raw\train\IHC\00035_train_2+.png,1625.997802734375,0.0034402094315737486,0,0.2,2,0,1,0,
data\raw\train\IHC\00036_train_3+.png,661976.8125,0.6313102841377258,1,0.25,0,0,0,0,
data\raw\train\IHC\00037_train_2+.png,37607.046875,0.7360508441925049,0,0.2,2,0,0,0,
data\raw\train\IHC\00038_train_2+.png,602206.125,0.7036055326461792,0,0.2,2,0,0,0,
data\raw\train\IHC\00039_train_1+.png,746284.5,0.8545578122138977,0,0.2,2,0,0,0,
data\raw\train\IHC\00040_train_3+.png,26263.818359375,0.025273768231272697,1,0.25,0,0,1,0,
data\raw\train\IHC\00041_train_2+.png,33158.28515625,0.847842812538147,0,0.2,2,0,0,0,
data\raw\train\IHC\00042_train_2+.png,305563.71875,0.2914082705974579,0,0.2,2,0,0,0,
data\raw\train\IHC\00043_train_2+.png,560127.0,0.887528121471405,0,0.2,2,0,0,0,
data\raw\train\IHC\00044_train_1+.png,0.0020398797933012247,1.945380967427468e-09,0,0.2,2,1,1,1,
data\raw\train\IHC\00045_train_1+.png,33461.0078125,0.24410907924175262,0,0.2,2,0,0,0,
data\raw\train\IHC\00046_train_2+.png,0.011997967958450317,1.1442153891039197e-08,0,0.2,2,1,1,1,
data\raw\train\IHC\00047_train_1+.png,1227.48291015625,0.07938706874847412,0,0.2,2,0,0,0,
data\raw\train\IHC\00048_train_2+.png,85911.8046875,0.685167670249939,0,0.2,2,0,0,0,
data\raw\train\IHC\00049_train_1+.png,101405.1796875,1.4464757442474365,0,0.2,2,0,0,0,
data\raw\train\IHC\00050_train_2+.png,1.4253442949454799e-16,1.359314246125679e-22,0,0.2,2,1,1,1,
data\raw\train\IHC\00051_train_2+.png,519313.15625,0.49525561928749084,0,0.2,2,0,0,0,
data\raw\train\IHC\00052_train_3+.png,170369.984375,0.16364137828350067,1,0.25,0,0,0,0,
data\raw\train\IHC\00053_train_3+.png,0.023825641721487045,2.278201982619521e-08,1,0.25,0,1,1,1,
data\raw\train\IHC\00054_train_3+.png,18720.109375,0.05691542476415634,1,0.25,0,0,0,0,
data\raw\train\IHC\00055_train_1+.png,227666.984375,0.3939243257045746,0,0.2,2,0,0,0,
data\raw\train\IHC\00057_train_3+.png,274485.03125,0.2632422149181366,1,0.25,0,0,0,0,
data\raw\train\IHC\00059_train_1+.png,267788.6875,1.0198287963867188,0,0.2,2,0,0,0,
data\raw\train\IHC\00062_train_1+.png,125618.265625,0.24226030707359314,0,0.2,2,0,0,0,
data\raw\train\IHC\00063_train_2+.png,5736.80126953125,0.005471040029078722,0,0.2,2,0,1,0,
data\raw\train\IHC\00064_train_1+.png,506242.21875,0.4827902019023895,0,0.2,2,0,0,0,
data\raw\train\IHC\00065_train_1+.png,92061.59375,0.8202208876609802,0,0.2,2,0,0,0,
data\raw\train\IHC\00066_train_1+.png,24156.51953125,0.02303745225071907,0,0.2,2,0,1,0,
data\raw\train\IHC\00067_train_3+.png,35967.97265625,0.11635150015354156,1,0.25,0,0,0,0,
data\raw\train\IHC\00068_train_3+.png,18669.015625,1.6662813425064087,1,0.25,0,0,0,0,
data\raw\train\IHC\00069_train_2+.png,2173.449951171875,0.0020727633964270353,0,0.2,2,0,1,0,
data\raw\train\IHC\00070_train_2+.png,390057.375,1.1478487253189087,0,0.2,2,0,0,0,
data\raw\train\IHC\00071_train_2+.png,40445.53515625,0.17376720905303955,0,0.2,2,0,0,0,
data\raw\train\IHC\00072_train_3+.png,4981574.0,4.770987510681152,1,0.25,0,0,0,0,
data\raw\train\IHC\00073_train_2+.png,22779.716796875,0.026538589969277382,0,0.2,2,0,1,0,
data\raw\train\IHC\00074_train_2+.png,596150.125,0.5685330629348755,0,0.2,2,0,0,0,
data\raw\train\IHC\00075_train_2+.png,243993.234375,0.23269008100032806,0,0.2,2,0,0,0,
data\raw\train\IHC\00076_train_2+.png,87591.9921875,0.6140859723091125,0,0.2,2,0,0,0,
data\raw\train\IHC\00077_train_1+.png,119942.7734375,1.0381510257720947,0,0.2,2,0,0,0,
data\raw\train\IHC\00078_train_3+.png,480788.25,0.4585757553577423,1,0.25,0,0,0,0,
data\raw\train\IHC\00079_train_3+.png,118441.890625,0.1137857735157013,1,0.25,0,0,0,0,
data\raw\train\IHC\00080_train_3+.png,160.20025634765625,0.00015403040742967278,1,0.25,0,1,1,1,
data\raw\train\IHC\00081_train_1+.png,700331.125,0.7765692472457886,0,0.2,2,0,0,0,
data\raw\train\IHC\00082_train_2+.png,2.0133185386657715,1.92005018107011e-06,0,0.2,2,1,1,1,
data\raw\train\IHC\00083_train_2+.png,116627.7734375,0.7168095111846924,0,0.2,2,0,0,0,
data\raw\train\IHC\00084_train_2+.png,142034.125,1.0519644021987915,0,0.2,2,0,0,0,
data\raw\train\IHC\00085_train_2+.png,30172.255859375,0.8342713117599487,0,0.2,2,0,0,0,
data\raw\train\IHC\00086_train_2+.png,3816.330322265625,0.0036395362112671137,0,0.2,2,0,1,0,
data\raw\train\IHC\00087_train_2+.png,39723.46484375,0.037883248180150986,0,0.2,2,0,1,0,
data\raw\train\IHC\00088_train_1+.png,40876.01953125,1.360357403755188,0,0.2,2,0,0,0,
data\raw\train\IHC\00089_train_2+.png,18240.33203125,0.01739533618092537,0,0.2,2,0,1,0,
data\raw\train\IHC\00090_train_2+.png,34819.84375,1.0518954992294312,0,0.2,2,0,0,0,
data\raw\train\IHC\00091_train_3+.png,435.7947082519531,0.0004195230721961707,1,0.25,0,1,1,1,
data\raw\train\IHC\00093_train_2+.png,72652.1328125,0.17386466264724731,0,0.2,2,0,0,0,
data\raw\train\IHC\00094_train_1+.png,479643.875,0.4574240446090698,0,0.2,2,0,0,0,
data\raw\train\IHC\00095_train_2+.png,928.161865234375,0.0008851641323417425,0,0.2,2,0,1,0,
data\raw\train\IHC\00096_train_1+.png,89.78458404541016,8.562525181332603e-05,0,0.2,2,1,1,1,
data\raw\train\IHC\00097_train_2+.png,194245.234375,0.18524669110774994,0,0.2,2,0,0,0,
data\raw\train\IHC\00098_train_1+.png,13741.396484375,0.1755797266960144,0,0.2,2,0,0,0,
data\raw\train\IHC\00099_train_3+.png,1073.3304443359375,0.002946831751614809,1,0.25,0,0,1,0,
data\raw\train\IHC\00100_train_2+.png,132356.46875,0.6853906512260437,0,0.2,2,0,0,0,
data\raw\train\IHC\00101_train_3+.png,249946.171875,0.23843251168727875,1,0.25,0,0,0,0,
data\raw\train\IHC\00102_train_2+.png,219377.46875,1.4367130994796753,0,0.2,2,0,0,0,
data\raw\train\IHC\00103_train_2+.png,48364.77734375,0.7884318828582764,0,0.2,2,0,0,0,
data\raw\train\IHC\00104_train_3+.png,4598.3994140625,1.57156503200531,1,0.25,0,0,0,0,
data\raw\train\IHC\00105_train_1+.png,148180.8125,0.3094262182712555,0,0.2,2,0,0,0,
data\raw\train\IHC\00106_train_3+.png,797435.6875,0.9467055797576904,1,0.25,0,0,0,0,
data\raw\train\IHC\00107_train_3+.png,730760.5625,0.8043869137763977,1,0.25,0,0,0,0,
data\raw\train\IHC\00108_train_3+.png,0.002590697957202792,2.4707009771418598e-09,1,0.25,0,1,1,1,
data\raw\train\IHC\00109_train_3+.png,6920.4736328125,0.006628780625760555,1,0.25,0,0,1,0,
data\raw\train\IHC\00110_train_2+.png,578302.375,0.5515121221542358,0,0.2,2,0,0,0,
data\raw\train\IHC\00111_train_3+.png,27482.19140625,1.2952910661697388,1,0.25,0,0,0,0,
data\raw\train\IHC\00112_train_2+.png,1008027.75,1.4381126165390015,0,0.2,2,0,0,0,
data\raw\train\IHC\00113_train_1+.png,184441.125,0.629307210445404,0,0.2,2,0,0,0,
data\raw\train\IHC\00114_train_2+.png,736.199462890625,0.0007020945195108652,0,0.2,2,0,1,0,
data\raw\train\IHC\00116_train_1+.png,46294.46484375,0.6151761412620544,0,0.2,2,0,0,0,
data\raw\train\IHC\00117_train_2+.png,142950.484375,0.13632820546627045,0,0.2,2,0,0,0,
data\raw\train\IHC\00118_train_3+.png,907279.125,2.2144854068756104,1,0.25,0,0,0,0,
data\raw\train\IHC\00119_train_1+.png,83081.7890625,0.8039032220840454,0,0.2,2,0,0,0,
data\raw\train\IHC\00120_train_1+.png,16.704265594482422,1.5930429071886465e-05,0,0.2,2,1,1,1,
data\raw\train\IHC\00121_train_1+.png,8.971620559692383,8.556004104320891e-06,0,0.2,2,1,1,1,
data\raw\train\IHC\00123_train_1+.png,14136.9658203125,0.013482061214745045,0,0.2,2,0,1,0,
data\raw\train\IHC\00124_train_1+.png,293462.09375,1.1751645803451538,0,0.2,2,0,0,0,
data\raw\train\IHC\00125_train_1+.png,64008.2109375,0.10160759091377258,0,0.2,2,0,0,0,
data\raw\train\IHC\00126_train_1+.png,484247.75,0.46181464195251465,0,0.2,2,0,0,0,
data\raw\train\IHC\00127_train_2+.png,261427.21875,1.7929552793502808,0,0.2,2,0,0,0,
data\raw\train\IHC\00128_train_3+.png,425.48138427734375,0.0020596247632056475,1,0.25,0,1,1,1,
data\raw\train\IHC\00131_train_2+.png,2270.005859375,0.12045027315616608,0,0.2,2,0,0,0,
data\raw\train\IHC\00132_train_0.png,486897.25,1.0880482196807861,0,0.2,2,0,0,0,
data\raw\train\IHC\00134_train_2+.png,7127.16552734375,0.006796994712203741,0,0.2,2,0,1,0,
data\raw\train\IHC\00135_train_2+.png,208190.0,0.5157992839813232,0,0.2,2,0,0,0,
data\raw\train\IHC\00136_train_3+.png,648962.6875,0.61969393491745,1,0.25,0,0,0,0,
data\raw\train\IHC\00137_train_3+.png,37750.73046875,0.13555750250816345,1,0.25,0,0,0,0,
data\raw\train\IHC\00138_train_3+.png,3.968733549118042,3.797402314376086e-06,1,0.25,0,1,1,1,
data\raw\train\IHC\00140_train_1+.png,29.463661193847656,2.809873694786802e-05,0,0.2,2,1,1,1,
data\raw\train\IHC\00141_train_1+.png,1045427.8125,0.9969976544380188,0,0.2,2,0,0,0,
data\raw\train\IHC\00142_train_1+.png,38753.91015625,0.03695860877633095,0,0.2,2,0,1,0,
data\raw\train\IHC\00144_train_3+.png,317996.96875,0.3034212291240692,1,0.25,0,0,0,0,
data\raw\train\IHC\00145_train_3+.png,34103.09765625,0.03252892568707466,1,0.25,0,0,1,0,
data\raw\train\IHC\00146_train_3+.png,770495.5,0.7353705167770386,1,0.25,0,0,0,0,
data\raw\train\IHC\00147_train_2+.png,3781.20166015625,0.0036060349084436893,0,0.2,2,0,1,0,
data\raw\train\IHC\00148_train_3+.png,113.50691986083984,0.00956814642995596,1,0.25,0,1,1,1,
data\raw\train\IHC\00149_train_2+.png,4215.853515625,0.004020551219582558,0,0.2,2,0,1,0,
data\raw\train\IHC\00150_train_3+.png,3987.112548828125,0.03372535482048988,1,0.25,0,0,1,0,
data\raw\train\IHC\00151_train_1+.png,1439561.375,1.3728727102279663,0,0.2,2,0,0,0,
data\raw\train\IHC\00152_train_3+.png,70642.9765625,0.14209647476673126,1,0.25,0,0,0,0,
data\raw\train\IHC\00153_train_3+.png,493765.15625,0.47089338302612305,1,0.25,0,0,0,0,
data\raw\train\IHC\00154_train_2+.png,251985.484375,0.6906644701957703,0,0.2,2,0,0,0,
data\raw\train\IHC\00155_train_2+.png,4742.36376953125,0.004522670526057482,0,0.2,2,0,1,0,
data\raw\train\IHC\00157_train_2+.png,181952.59375,0.5295847058296204,0,0.2,2,0,0,0,
data\raw\train\IHC\00158_train_3+.png,44114.4140625,0.718967616558075,1,0.25,0,0,0,0,
data\raw\train\IHC\00159_train_1+.png,200997.484375,0.5595106482505798,0,0.2,2,0,0,0,
data\raw\train\IHC\00160_train_2+.png,101385.703125,0.8322514295578003,0,0.2,2,0,0,0,
data\raw\train\IHC\00161_train_2+.png,730545.0625,1.2692660093307495,0,0.2,2,0,0,0,
data\raw\train\IHC\00162_train_3+.png,638.8104858398438,0.0006116408039815724,1,0.25,0,0,1,0,
data\raw\train\IHC\00163_train_1+.png,104550.59375,0.38301971554756165,0,0.2,2,0,0,0,
data\raw\train\IHC\00164_train_2+.png,478.65435791015625,0.0004564803675748408,0,0.2,2,1,1,1,
data\raw\train\IHC\00165_train_2+.png,169526.4375,0.925089955329895,0,0.2,2,0,0,0,
data\raw\train\IHC\00166_train_3+.png,28.22220230102539,2.6979216272593476e-05,1,0.25,0,1,1,1,
data\raw\train\IHC\00167_train_1+.png,215968.140625,0.8335127234458923,0,0.2,2,0,0,0,
data\raw\train\IHC\00168_train_1+.png,49763.77734375,0.04745843634009361,0,0.2,2,0,1,0,
data\raw\train\IHC\00170_train_1+.png,41626.390625,0.03969801962375641,0,0.2,2,0,1,0,
data\raw\train\IHC\00171_train_3+.png,72529.3515625,0.15285234153270721,1,0.25,0,0,0,0,
data\raw\train\IHC\00172_train_3+.png,129847.8515625,0.36544740200042725,1,0.25,0,0,0,0,
data\raw\train\IHC\00173_train_1+.png,0.06098788604140282,3.276329323398386e-07,0,0.2,2,1,1,1,
data\raw\train\IHC\00174_train_1+.png,30616.08984375,0.19372735917568207,0,0.2,2,0,0,0,
data\raw\train\IHC\00175_train_1+.png,37683.77734375,0.03593805059790611,0,0.2,2,0,1,0,
data\raw\train\IHC\00176_train_2+.png,39528.65625,1.5886446237564087,0,0.2,2,0,0,0,
data\raw\train\IHC\00177_train_2+.png,730.4493408203125,0.0006966107757762074,0,0.2,2,0,1,0,
data\raw\train\IHC\00178_train_1+.png,6262.4248046875,0.005972313694655895,0,0.2,2,0,1,0,
data\raw\train\IHC\00180_train_2+.png,1783.8831787109375,0.0017012435710057616,0,0.2,2,0,1,0,
data\raw\train\IHC\00181_train_1+.png,72706.4765625,0.5052359104156494,0,0.2,2,0,0,0,
data\raw\train\IHC\00182_train_3+.png,806104.625,0.9821345806121826,1,0.25,0,0,0,0,
data\raw\train\IHC\00183_train_3+.png,48895.06640625,0.1047414019703865,1,0.25,0,0,0,0,
data\raw\train\IHC\00184_train_1+.png,29531.796875,0.028163716197013855,0,0.2,2,0,1,0,
data\raw\train\IHC\00185_train_3+.png,90897.875,0.08671335130929947,1,0.25,0,0,0,0,
data\raw\train\IHC\00186_train_1+.png,819694.0,0.7817211151123047,0,0.2,2,0,0,0,
data\raw\train\IHC\00187_train_1+.png,247698.71875,0.8973160982131958,0,0.2,2,0,0,0,
data\raw\train\IHC\00188_train_1+.png,949835.75,1.0530481338500977,0,0.2,2,0,0,0,
data\raw\train\IHC\00189_train_2+.png,172608.46875,0.16461226344108582,0,0.2,2,0,0,0,
data\raw\train\IHC\00190_train_2+.png,23152.7734375,0.141762375831604,0,0.2,2,0,0,0,
data\raw\train\IHC\00191_train_3+.png,3.958392858505249,3.797777253566892e-06,1,0.25,0,1,1,1,
data\raw\train\IHC\00194_train_1+.png,406287.21875,0.5563299655914307,0,0.2,2,0,0,0,
data\raw\train\IHC\00195_train_1+.png,973890.125,0.9287739992141724,0,0.2,2,0,0,0,
data\raw\train\IHC\00196_train_3+.png,2678.675537109375,0.0025787961203604937,1,0.25,0,0,1,0,
data\raw\train\IHC\00197_train_3+.png,449081.6875,0.4310069680213928,1,0.25,0,0,0,0,
data\raw\train\IHC\00198_train_2+.png,4380.0595703125,0.0041771503165364265,0,0.2,2,0,1,0,
data\raw\train\IHC\00199_train_2+.png,66455.3125,0.06337672472000122,0,0.2,2,0,0,0,
data\raw\train\IHC\00200_train_3+.png,304790.46875,0.2923576533794403,1,0.25,0,0,0,0,
data\raw\train\IHC\00201_train_1+.png,103114.421875,0.7011104822158813,0,0.2,2,0,0,0,
data\raw\train\IHC\00202_train_3+.png,653976.3125,0.6275345087051392,1,0.25,0,0,0,0,
data\raw\train\IHC\00203_train_2+.png,73600.2421875,0.12033694237470627,0,0.2,2,0,0,0,
data\raw\train\IHC\00204_train_2+.png,34863.4609375,0.84247887134552,0,0.2,2,0,0,0,
data\raw\train\IHC\00205_train_2+.png,31.209253311157227,2.9763463317067362e-05,0,0.2,2,1,1,1,
data\raw\train\IHC\00206_train_1+.png,24295.11328125,0.5863852500915527,0,0.2,2,0,0,0,
data\raw\train\IHC\00207_train_1+.png,73589.4765625,0.4519433081150055,0,0.2,2,0,0,0,
data\raw\train\IHC\00208_train_3+.png,84792.1484375,0.6041994690895081,1,0.25,0,0,0,0,
data\raw\train\IHC\00209_train_3+.png,247180.0625,0.23572927713394165,1,0.25,0,0,0,0,
data\raw\train\IHC\00210_train_3+.png,16959.775390625,0.14619362354278564,1,0.25,0,0,0,0,
data\raw\train\IHC\00212_train_1+.png,376209.78125,1.0965945720672607,0,0.2,2,0,0,0,
data\raw\train\IHC\00213_train_2+.png,7552.0673828125,0.0072022126987576485,0,0.2,2,0,1,0,
data\raw\train\IHC\00214_train_3+.png,1129.7432861328125,0.001078950590454042,1,0.25,0,0,1,0,
data\raw\train\IHC\00215_train_2+.png,13820.6943359375,0.4391006827354431,0,0.2,2,0,0,0,
data\raw\train\IHC\00216_train_2+.png,1021.7393188476562,0.07880143076181412,0,0.2,2,0,0,0,
data\raw\train\IHC\00217_train_1+.png,89563.390625,1.0312659740447998,0,0.2,2,0,0,0,
data\raw\train\IHC\00218_train_2+.png,311813.9375,0.29736894369125366,0,0.2,2,0,0,0,
data\raw\train\IHC\00221_train_2+.png,1069359.875,1.019821047782898,0,0.2,2,0,0,0,
data\raw\train\IHC\00223_train_1+.png,708.040771484375,0.08516246825456619,0,0.2,2,0,0,0,
data\raw\train\IHC\00224_train_1+.png,50825.34375,0.04847082495689392,0,0.2,2,0,1,0,
data\raw\train\IHC\00225_train_2+.png,0.109119713306427,1.0406466799395275e-07,0,0.2,2,1,1,1,
data\raw\train\IHC\00226_train_1+.png,303109.6875,0.28906792402267456,0,0.2,2,0,0,0,
data\raw\train\IHC\00227_train_2+.png,155.60829162597656,0.0001483996311435476,0,0.2,2,1,1,1,
data\raw\train\IHC\00228_train_2+.png,34888.7109375,0.6353799104690552,0,0.2,2,0,0,0,
data\raw\train\IHC\00229_train_3+.png,1215688.875,1.1656733751296997,1,0.25,0,0,0,0,
data\raw\train\IHC\00230_train_2+.png,23342.671875,0.022261306643486023,0,0.2,2,0,1,0,
data\raw\train\IHC\00231_train_3+.png,40643.546875,0.1622943878173828,1,0.25,0,0,0,0,
data\raw\train\IHC\00232_train_0.png,732237.9375,0.9018586277961731,0,0.2,2,0,0,0,
data\raw\train\IHC\00233_train_2+.png,51767.9140625,1.0230813026428223,0,0.2,2,0,0,0,
data\raw\train\IHC\00234_train_2+.png,302511.65625,0.28849759697914124,0,0.2,2,0,0,0,
data\raw\train\IHC\00236_train_3+.png,481468.25,0.6310207843780518,1,0.25,0,0,0,0,
data\raw\train\IHC\00237_train_2+.png,1171515.25,1.117244005203247,0,0.2,2,0,0,0,
data\raw\train\IHC\00240_train_1+.png,92713.5234375,0.1528206318616867,0,0.2,2,0,0,0,
data\raw\train\IHC\00241_train_3+.png,133494.09375,0.12732762098312378,1,0.25,0,0,0,0,
data\raw\train\IHC\00242_train_2+.png,3209.18994140625,0.005449863150715828,0,0.2,2,0,1,0,
data\raw\train\IHC\00243_train_2+.png,33742.65234375,0.299482136964798,0,0.2,2,0,0,0,
data\raw\train\IHC\00245_train_0.png,56295.76171875,0.325710266828537,0,0.2,2,0,0,0,
data\raw\train\IHC\00246_train_1+.png,200307.96875,0.2981598675251007,0,0.2,2,0,0,0,
data\raw\train\IHC\00247_train_1+.png,111087.8671875,0.9714044332504272,0,0.2,2,0,0,0,
data\raw\train\IHC\00248_train_2+.png,922.0078735351562,0.48323264718055725,0,0.2,2,0,0,0,
data\raw\train\IHC\00249_train_1+.png,50667.4609375,0.09209134429693222,0,0.2,2,0,0,0,
data\raw\train\IHC\00250_train_3+.png,14359.1708984375,0.37740612030029297,1,0.25,0,0,0,0,
data\raw\train\IHC\00251_train_1+.png,2149.723388671875,0.0020501359831541777,0,0.2,2,0,1,0,
data\raw\train\IHC\00252_train_2+.png,577381.75,0.5506341457366943,0,0.2,2,0,0,0,
data\raw\train\IHC\00254_train_2+.png,7945.34912109375,0.007577275391668081,0,0.2,2,0,1,0,
data\raw\train\IHC\00255_train_2+.png,6765.03173828125,0.3145063519477844,0,0.2,2,0,0,0,
data\raw\train\IHC\00256_train_1+.png,47606.08984375,0.18653473258018494,0,0.2,2,0,0,0,
data\raw\train\IHC\00257_train_2+.png,6805.505859375,0.006490236148238182,0,0.2,2,0,1,0,
data\raw\train\IHC\00258_train_2+.png,128717.140625,0.8229312300682068,0,0.2,2,0,0,0,
data\raw\train\IHC\00259_train_1+.png,795150.9375,0.9285534024238586,0,0.2,2,0,0,0,
data\raw\train\IHC\00260_train_2+.png,3418.646728515625,0.0032602755818516016,0,0.2,2,0,1,0,
data\raw\train\IHC\00261_train_3+.png,1306252.375,1.2459044456481934,1,0.25,0,0,0,0,
data\raw\train\IHC\00262_train_3+.png,719369.625,1.028367280960083,1,0.25,0,0,0,0,
data\raw\train\IHC\00263_train_2+.png,1.5377139839234388e-10,1.4664783324465168e-16,0,0.2,2,1,1,1,
data\raw\train\IHC\00264_train_3+.png,650.41064453125,0.0006286742282100022,1,0.25,0,0,1,0,
data\raw\train\IHC\00266_train_2+.png,20788.681640625,0.14423562586307526,0,0.2,2,0,0,0,
data\raw\train\IHC\00267_train_1+.png,159554.21875,0.7666674256324768,0,0.2,2,0,0,0,
data\raw\train\IHC\00268_train_2+.png,19530.482421875,0.18542888760566711,0,0.2,2,0,0,0,
data\raw\train\IHC\00270_train_2+.png,282200.375,1.2339433431625366,0,0.2,2,0,0,0,
data\raw\train\IHC\00271_train_3+.png,1186489.875,1.131525993347168,1,0.25,0,0,0,0,
data\raw\train\IHC\00272_train_2+.png,100847.7890625,0.8373697400093079,0,0.2,2,0,0,0,
data\raw\train\IHC\00273_train_2+.png,28295.54296875,0.5665453672409058,0,0.2,2,0,0,0,
data\raw\train\IHC\00274_train_2+.png,63744.1796875,0.328363299369812,0,0.2,2,0,0,0,
data\raw\train\IHC\00275_train_0.png,269161.875,0.624091386795044,0,0.2,2,0,0,0,
data\raw\train\IHC\00276_train_2+.png,48578.58203125,0.04632814601063728,0,0.2,2,0,1,0,
data\raw\train\IHC\00277_train_2+.png,298923.34375,0.28507551550865173,0,0.2,2,0,0,0,
data\raw\train\IHC\00278_train_2+.png,337680.28125,0.322037011384964,0,0.2,2,0,0,0,
data\raw\train\IHC\00279_train_2+.png,73088.7421875,0.3312819302082062,0,0.2,2,0,0,0,
data\raw\train\IHC\00280_train_1+.png,158349.546875,0.7271813154220581,0,0.2,2,0,0,0,
data\raw\train\IHC\00281_train_2+.png,73954.46875,0.28438010811805725,0,0.2,2,0,0,0,
data\raw\train\IHC\00282_train_1+.png,821850.25,0.7837774753570557,0,0.2,2,0,0,0,
data\raw\train\IHC\00283_train_2+.png,8.374955177307129,7.98697965365136e-06,0,0.2,2,1,1,1,
data\raw\train\IHC\00285_train_2+.png,55062.21875,0.3091837167739868,0,0.2,2,0,0,0,
data\raw\train\IHC\00286_train_1+.png,2616.155029296875,0.07150503993034363,0,0.2,2,0,0,0,
data\raw\train\IHC\00287_train_0.png,316875.40625,3.766094207763672,0,0.2,2,0,0,0,
data\raw\train\IHC\00289_train_1+.png,20923.958984375,0.04019857197999954,0,0.2,2,0,1,0,
